Country           Agr  Min   Man  Pow   Con   Ser   Fin   Soc  Tra		
Belgium          3.30  .90 27.60  .90  8.20 19.10  6.20 26.60 7.20
Denmark          9.20  .10 21.80  .60  8.30 14.60  6.50 32.20 7.10
France          10.80  .80 27.50  .90  8.90 16.80  6.00 22.60 5.70
WGerm            6.70 1.30 35.80  .90  7.30 14.40  5.00 22.30 6.10
Ireland         23.20 1.00 20.70 1.30  7.50 16.80  2.80 20.80 6.10
Italy           15.90  .60 27.60  .50 10.00 18.10  1.60 20.10 5.70
Luxem            7.70 3.10 30.80  .80  9.20 18.50  4.60 19.20 6.20
Nether           6.30  .10 22.50 1.00  9.90 18.00  6.80 28.50 6.80
UK               2.70 1.40 30.20 1.40  6.90 16.90  5.70 28.30 6.40
Austria         12.70 1.10 30.20 1.40  9.00 16.80  4.90 16.80 7.00
Finland         13.00  .40 25.90 1.30  7.40 14.70  5.50 24.30 7.60
Greece          41.40  .60 17.60  .60  8.10 11.50  2.40 11.00 6.70
Norway           9.00  .50 22.40  .80  8.60 16.90  4.70 27.60 9.40
Portugal        27.80  .30 24.50  .60  8.40 13.30  2.70 16.70 5.70
Spain           22.90  .80 28.50  .70 11.50  9.70  8.50 11.80 5.50
Sweden           6.10  .40 25.90  .80  7.20 14.40  6.00 32.40 6.80
Switz            7.70  .20 37.80  .80  9.50 17.50  5.30 15.40 5.70
Turkey          66.80  .70  7.90  .10  2.80  5.20  1.10 11.90 3.20
Bulgaria        23.60 1.90 32.30  .60  7.90  8.00   .70 18.20 6.70
Czech           16.50 2.90 35.50 1.20  8.70  9.20   .90 17.90 7.00
EGerm            4.20 2.90 41.20 1.30  7.60 11.20  1.20 22.10 8.40
Hungary         21.70 3.10 29.60 1.90  8.20  9.40   .90 17.20 8.00
Poland          31.10 2.50 25.70  .90  8.40  7.50   .90 16.10 6.90
Romania         34.70 2.10 30.10  .60  8.70  5.90  1.30 11.70 5.00
USSR            23.70 1.40 25.80  .60  9.20  6.10   .50 23.60 9.30
Yugoslavia      48.70 1.50 16.80 1.10  4.90  6.40 11.30  5.30 4.00
