high_GPA;univ_GPA;math_SAT
3,45;3,52;643
2,78;2,91;558
2,52;2,4;583
3,67;3,47;685
3,24;3,47;592
2,1;2,37;562
2,82;2,4;573
2,36;2,24;559
2,42;3,02;552
3,51;3,32;617
3,48;3,59;684
2,14;2,54;568
2,59;3,19;604
3,46;3,71;619
3,51;3,58;642
3,68;3,4;683
3,91;3,73;703
3,72;3,49;712
2,15;2,25;564
2,48;2,37;557
3,09;3,29;591
2,71;3,19;599
2,46;3,28;607
3,32;3,37;619
3,61;3,61;700
3,82;3,81;718
2,64;2,4;580
2,19;2,21;562
3,34;3,58;683
3,48;3,51;717
3,56;3,62;701
3,81;3,6;691
3,92;3,65;714
4;3,76;689
2,52;2,27;554
2,71;2,35;564
3,15;3,17;668
3,22;3,47;691
2,29;3;573
2,03;2,74;568
3,14;3,37;607
3,52;3,54;651
2,91;3,28;604
2,83;3,39;560
2,65;3,28;604
2,41;3,19;574
2,54;2,52;564
2,66;3,08;607
3,21;3,01;619
3,34;3,42;647
3,68;3,6;651
2,84;2,4;571
2,74;2,83;583
2,71;2,38;554
2,24;3,21;568
2,48;2,24;574
3,14;3,4;605
2,83;3,07;591
3,44;3,52;642
2,89;3,47;608
2,67;3,08;574
3,24;3,38;643
3,29;3,41;608
3,87;3,64;709
3,94;3,71;691
3,42;3,01;667
3,52;3,37;656
2,24;2,34;554
3,29;3,29;692
3,41;3,4;684
3,56;3,38;717
3,61;3,28;712
3,28;3,31;641
3,21;3,42;675
3,48;3,39;692
3,62;3,51;684
2,92;3,17;564
2,81;3,2;554
3,11;3,41;685
3,28;3,29;671
2,7;3,17;571
2,62;3,12;582
3,72;3,71;621
3,42;3,5;651
3,51;3,34;673
3,28;3,48;651
3,42;3,44;672
3,9;3,59;591
3,12;3,28;582
2,83;3;609
2,09;3,42;554
3,17;3,41;612
3,28;3,49;628
3,02;3,28;567
3,42;3,17;619
3,06;3,24;691
2,76;2,34;564
3,19;3,28;650
2,23;2,29;551
2,48;2,08;568
3,76;3,64;605
3,49;3,42;692
3,07;3,25;680
2,19;2,76;617
3,46;3,41;516
